date,stream,reach,microsite,quadrat,quadrat.id,species,sample.id,salmon.density,chum.density,pink.density,dist.upstream,dist.from.stream,side.of.stream,orientation,slope,aspect,avg.canopy.cover,avg.soil.moisture,ref.soil.moisture,stem.density,fruit.count,punch.weight.mg,punch.notes,image.id,leaf.area,num..of.leaves,rMean,gMean,bMean,percent.green,c.13,total.c.ug,n.15,total.n.ug,sample.weight.mg
9-Jul-19,Kajusdis,3,B,1,Kajusdis-3B1,RUSP,Kajusdis-3B1-RUSP,NA,NA,NA,493,2.6,L,235,30,235,85.8,6.7,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-30.85,1926.54,-0.61,86.31,4.42
9-Jul-19,Kajusdis,3,B,1,Kajusdis-3B1,VASP,Kajusdis-3B1-VASP,NA,NA,NA,493,2.6,L,235,30,235,85.8,6.7,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.95,2078.26,-3.73,87.63,4.458
9-Jul-19,Kajusdis,3,C,1,Kajusdis-3C1,MEFE,Kajusdis-3C1-MEFE,NA,NA,NA,513,1,R,32,23,32,52,15.1,5,5,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.22,1882.6,-0.81,80.6,4.518
9-Jul-19,Kajusdis,3,C,1,Kajusdis-3C1,VASP,Kajusdis-3C1-VASP,NA,NA,NA,513,1,R,32,23,32,52,15.1,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,3,D,1,Kajusdis-3D1,MEFE,Kajusdis-3D1-MEFE,NA,NA,NA,563,1.7,L,226,32,226,89.96,3.9,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,3,D,1,Kajusdis-3D1,RUSP,Kajusdis-3D1-RUSP,NA,NA,NA,563,1.7,L,226,32,226,89.96,3.9,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.82,1824,2.12,91.56,4.422
9-Jul-19,Kajusdis,3,D,1,Kajusdis-3D1,VASP,Kajusdis-3D1-VASP,NA,NA,NA,563,1.7,L,226,32,226,89.96,3.9,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,4,A,1,Kajusdis-4A1,MEFE,Kajusdis-4A1-MEFE,NA,NA,NA,624,0.5,R,32,26,32,57.72,44,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.66,1994.97,-2.86,68.64,4.593
9-Jul-19,Kajusdis,4,A,1,Kajusdis-4A1,RUSP,Kajusdis-4A1-RUSP,NA,NA,NA,624,0.5,R,32,26,32,57.72,44,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.92,1957.37,-0.9,66.43,4.562
9-Jul-19,Kajusdis,4,A,1,Kajusdis-4A1,VASP,Kajusdis-4A1-VASP,NA,NA,NA,624,0.5,R,32,26,32,57.72,44,5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.17,2069.12,-1.94,61.73,4.424
9-Jul-19,Kajusdis,4,B,1,Kajusdis-4B1,MEFE,Kajusdis-4B1-MEFE,NA,NA,NA,690,4,L,223,0,NA,58.5,13.2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.95,1746.14,-0.99,79.42,4.145
9-Jul-19,Kajusdis,4,B,1,Kajusdis-4B1,VASP,Kajusdis-4B1-VASP,NA,NA,NA,690,4,L,223,0,NA,58.5,13.2,5,5,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,4,C,1,Kajusdis-4C1,MEFE,Kajusdis-4C1-MEFE,NA,NA,NA,715,0.5,R,76,0,NA,86.84,2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9-Jul-19,Kajusdis,4,C,1,Kajusdis-4C1,VASP,Kajusdis-4C1-VASP,NA,NA,NA,715,0.5,R,76,0,NA,86.84,2,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.1,1996.16,2.43,102.88,4.211
9-Jul-19,Kajusdis,4,D,1,Kajusdis-4D1,MEFE,Kajusdis-4D1-MEFE,NA,NA,NA,669,0.7,L,219,36,219,65.26,1.6,5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-30.03,1790.02,-2.54,79.75,4.211
9-Jul-19,Kajusdis,4,D,1,Kajusdis-4D1,VASP,Kajusdis-4D1-VASP,NA,NA,NA,669,0.7,L,219,36,219,65.26,1.6,5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-29.75,1841.56,-3.47,82.79,3.979
10-Jul-19,Kwakusdis,1,A,1,Kwakusdis-1A1,MADI,Kwakusdis-1A1-MADI,NA,NA,NA,30,15,R,315,0,NA,76.18,15.2,12.5,140,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.03,1663.31,4.84,123.31,4.028
10-Jul-19,Kwakusdis,1,A,1,Kwakusdis-1A1,RUSP,Kwakusdis-1A1-RUSP,NA,NA,NA,30,15,R,315,0,NA,76.18,15.2,12.5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,A,1,Kwakusdis-1A1,VASP,Kwakusdis-1A1-VASP,NA,NA,NA,30,15,R,315,0,NA,76.18,15.2,12.5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-35.16,2067.94,6.1,94.78,4.529
10-Jul-19,Kwakusdis,1,A,2,Kwakusdis-1A2,MADI,Kwakusdis-1A2-MADI,NA,NA,NA,30,45,R,294,0,NA,75.14,15.5,12.5,700,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,A,2,Kwakusdis-1A2,MEFE,Kwakusdis-1A2-MEFE,NA,NA,NA,30,45,R,294,0,NA,75.14,15.5,12.5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.77,2079.31,1.73,50.47,4.567
10-Jul-19,Kwakusdis,1,A,2,Kwakusdis-1A2,VASP,Kwakusdis-1A2-VASP,NA,NA,NA,30,45,R,294,0,NA,75.14,15.5,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.11,2190.93,4.82,70.69,4.609
10-Jul-19,Kwakusdis,1,B,1,Kwakusdis-1B1,MADI,Kwakusdis-1B1-MADI,NA,NA,NA,57,6,L,116,0,NA,64.74,15.6,12.5,300,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,B,1,Kwakusdis-1B1,MEFE,Kwakusdis-1B1-MEFE,NA,NA,NA,57,6,L,116,0,NA,64.74,15.6,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,B,1,Kwakusdis-1B1,VASP,Kwakusdis-1B1-VASP,NA,NA,NA,57,6,L,116,0,NA,64.74,15.6,12.5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,B,2,Kwakusdis-1B2,MADI,Kwakusdis-1B2-MADI,NA,NA,NA,57,2.7,L,98,0,NA,65.78,21.3,12.5,18,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.75,1658.1,6.4,109.61,4.175
10-Jul-19,Kwakusdis,1,B,2,Kwakusdis-1B2,MEFE,Kwakusdis-1B2-MEFE,NA,NA,NA,57,2.7,L,98,0,NA,65.78,21.3,12.5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.43,2001.53,4.85,85.21,4.516
10-Jul-19,Kwakusdis,1,B,2,Kwakusdis-1B2,RUSP,Kwakusdis-1B2-RUSP,NA,NA,NA,57,2.7,L,98,0,NA,65.78,21.3,12.5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.14,1883.34,5.19,128.18,4.469
10-Jul-19,Kwakusdis,1,C,1,Kwakusdis-1C1,MADI,Kwakusdis-1C1-MADI,NA,NA,NA,82,2.4,R,179,15,179,66.82,64.4,12.5,31,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.19,1634.07,2.74,64.75,4.044
10-Jul-19,Kwakusdis,1,C,1,Kwakusdis-1C1,MEFE,Kwakusdis-1C1-MEFE,NA,NA,NA,82,2.4,R,179,15,179,66.82,64.4,12.5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.62,1920,1.85,74.23,4.628
10-Jul-19,Kwakusdis,1,C,1,Kwakusdis-1C1,RUSP,Kwakusdis-1C1-RUSP,NA,NA,NA,82,2.4,R,179,15,179,66.82,64.4,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.51,1866.38,3.59,155.18,4.39
10-Jul-19,Kwakusdis,1,C,1,Kwakusdis-1C1,VASP,Kwakusdis-1C1-VASP,NA,NA,NA,82,2.4,R,179,15,179,66.82,64.4,12.5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,D,1,Kwakusdis-1D1,MADI,Kwakusdis-1D1-MADI,NA,NA,NA,84,4.2,L,86,0,NA,86.58,18.6,12.5,70,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,1,D,1,Kwakusdis-1D1,RUSP,Kwakusdis-1D1-RUSP,NA,NA,NA,84,4.2,L,86,0,NA,86.58,18.6,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.68,1906.76,4.53,129.41,4.558
10-Jul-19,Kwakusdis,1,D,1,Kwakusdis-1D1,VASP,Kwakusdis-1D1-VASP,NA,NA,NA,84,4.2,L,86,0,NA,86.58,18.6,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.91,1935.14,1.2,95.19,4.448
10-Jul-19,Kwakusdis,2,A,1,Kwakusdis-2A1,MADI,Kwakusdis-2A1-MADI,NA,NA,NA,100,7.5,R,286,15,286,82.94,18.8,12.5,75,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-31.59,1684.38,1.71,88.9,4.242
10-Jul-19,Kwakusdis,2,A,1,Kwakusdis-2A1,MEFE,Kwakusdis-2A1-MEFE,NA,NA,NA,100,7.5,R,286,15,286,82.94,18.8,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.88,1794.5,0.58,81.22,4.301
10-Jul-19,Kwakusdis,2,A,1,Kwakusdis-2A1,RUSP,Kwakusdis-2A1-RUSP,NA,NA,NA,100,7.5,R,286,15,286,82.94,18.8,12.5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.02,1820.42,5.66,116.8,4.234
10-Jul-19,Kwakusdis,2,A,1,Kwakusdis-2A1,VASP,Kwakusdis-2A1-VASP,NA,NA,NA,100,7.5,R,286,15,286,82.94,18.8,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,B,1,Kwakusdis-2B1,MADI,Kwakusdis-2B1-MADI,NA,NA,NA,29,9.4,L,98,0,NA,94.12,7.3,12.5,14,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.87,1742.18,2.74,71.08,4.336
10-Jul-19,Kwakusdis,2,B,1,Kwakusdis-2B1,RUSP,Kwakusdis-2B1-RUSP,NA,NA,NA,29,9.4,L,98,0,NA,94.12,7.3,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.1,1837.47,4.04,128.46,4.343
10-Jul-19,Kwakusdis,2,B,2,Kwakusdis-2B2,MADI,Kwakusdis-2B2-MADI,NA,NA,NA,129,10,R,268,15,268,90.74,90.7,12.5,300,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,B,2,Kwakusdis-2B2,MEFE,Kwakusdis-2B2-MEFE,NA,NA,NA,129,10,R,268,15,268,90.74,90.7,12.5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.81,2039.67,3.74,88.94,4.624
10-Jul-19,Kwakusdis,2,B,2,Kwakusdis-2B2,VASP,Kwakusdis-2B2-VASP,NA,NA,NA,129,10,R,268,15,268,90.74,90.7,12.5,2,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-34.23,2098.01,1.12,109.63,4.52
10-Jul-19,Kwakusdis,2,C,1,Kwakusdis-2C1,MADI,Kwakusdis-2C1-MADI,NA,NA,NA,177,6,R,250,0,NA,93.08,34.8,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,C,1,Kwakusdis-2C1,RUSP,Kwakusdis-2C1-RUSP,NA,NA,NA,177,6,R,250,0,NA,93.08,34.8,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,C,1,Kwakusdis-2C1,VASP,Kwakusdis-2C1-VASP,NA,NA,NA,177,6,R,250,0,NA,93.08,34.8,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-35.24,1947,2.8,141.78,4.363
10-Jul-19,Kwakusdis,2,C,2,Kwakusdis-2C2,MADI,Kwakusdis-2C2-MADI,NA,NA,NA,177,1.5,R,258,0,NA,91.26,17.9,12.5,7,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,C,2,Kwakusdis-2C2,RUSP,Kwakusdis-2C2-RUSP,NA,NA,NA,177,1.5,R,258,0,NA,91.26,17.9,12.5,10,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.86,1909.02,3.34,160.56,4.497
10-Jul-19,Kwakusdis,2,D,1,Kwakusdis-2D1,MADI,Kwakusdis-2D1-MADI,NA,NA,NA,184,3.4,L,86,0,NA,62.14,14.9,12.5,300,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,D,1,Kwakusdis-2D1,RUSP,Kwakusdis-2D1-RUSP,NA,NA,NA,184,3.4,L,86,0,NA,62.14,14.9,12.5,1,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-Jul-19,Kwakusdis,2,D,2,Kwakusdis-2D2,MADI,Kwakusdis-2D2-MADI,NA,NA,NA,187,8.7,L,86,0,NA,87.1,54.2,12.5,37,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.71,1799.35,5.76,111.57,4.586
10-Jul-19,Kwakusdis,2,D,2,Kwakusdis-2D2,MEFE,Kwakusdis-2D2-MEFE,NA,NA,NA,187,8.7,L,86,0,NA,87.1,54.2,12.5,5,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-32.99,1857.03,2.95,59.15,4.105
10-Jul-19,Kwakusdis,2,D,2,Kwakusdis-2D2,VASP,Kwakusdis-2D2-VASP,NA,NA,NA,187,8.7,L,86,0,NA,87.1,54.2,12.5,3,NA,NA,NOT PUNCHED,NA,NA,NA,NA,NA,NA,NA,-33.49,2066.76,2.35,116.92,4.539
